unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT,tradecount
1.57E+12,09-10-2019 0:00,BTC/USDT,8168.33,8700,8113,8559.77,65453.64,5.50E+08,114326
1.57E+12,10-10-2019 0:00,BTC/USDT,8559.77,8640.89,8419.34,8556.02,44285.67,3.78E+08,83861
1.57E+12,11-10-2019 0:00,BTC/USDT,8557,8788,8210,8255.58,69157.96,5.82E+08,116971
1.57E+12,12-10-2019 0:00,BTC/USDT,8255.54,8397.45,8248.34,8300.22,37761.51,3.14E+08,68373
1.57E+12,13-10-2019 00:00,BTC/USDT,8300.31,8456,8137.3,8274.66,43820.91,3.65E+08,80857
1.57E+12,14-10-2019 00:00,BTC/USDT,8274.33,8381.77,8205.02,8346.05,61999.82,5.15E+08,93034
1.57E+12,15-10-2019 00:00,BTC/USDT,8346.31,8408.62,8080,8160.01,86246.75,7.12E+08,97630
1.57E+12,16-10-2019 00:00,BTC/USDT,8160.55,8184,7900.24,7992.21,70434.45,5.67E+08,90317
1.57E+12,17-10-2019 00:00,BTC/USDT,7994.76,8124.63,7930,8069.2,58354.6,4.69E+08,80845
1.57E+12,18-10-2019 00:00,BTC/USDT,8069.41,8117.3,7812,7943.94,75251.35,5.98E+08,102381
1.57E+12,19-10-2019 00:00,BTC/USDT,7945.57,8108.54,7852.12,7947.13,78024.4,6.21E+08,98068
1.57E+12,20-10-2019 00:00,BTC/USDT,7947.78,8300.5,7871.17,8218.23,78663.92,6.32E+08,120205
1.57E+12,21-10-2019 00:00,BTC/USDT,8218.23,8334.57,8150,8201.74,59928.52,4.92E+08,100497
1.57E+12,22-10-2019 00:00,BTC/USDT,8201,8290,8000,8020.89,69506.88,5.69E+08,115709
1.57E+12,23-10-2019 00:00,BTC/USDT,8020.68,8047.78,7172.76,7465,108484.1,8.29E+08,202487
1.57E+12,24-10-2019 00:00,BTC/USDT,7465.18,7495.81,7337.44,7411.35,66719.53,4.96E+08,111756
1.57E+12,25-10-2019 00:00,BTC/USDT,7410.07,8800,7359,8650,165118.9,1.35E+09,322189
1.57E+12,26-10-2019 00:00,BTC/USDT,8650,10408.48,8626.89,9232.22,248161.2,2.32E+09,503375
1.57E+12,27-10-2019 00:00,BTC/USDT,9234.75,9803.83,9066.07,9533.32,163544,1.55E+09,309972
1.57E+12,28-10-2019 00:00,BTC/USDT,9534.37,9930.13,9156.03,9217.36,155600,1.48E+09,279048
1.57E+12,29-10-2019 00:00,BTC/USDT,9215.78,9569.1,9070,9415.02,124703,1.17E+09,242823
1.57E+12,30-10-2019 00:00,BTC/USDT,9415.02,9418.65,8975.72,9165.3,98464.86,9.05E+08,233836
1.57E+12,31-10-2019 00:00,BTC/USDT,9163.4,9438.64,8933,9150,98836.04,9.07E+08,247658
1.57E+12,01-11-2019 0:00,BTC/USDT,9149.88,9280,9050.27,9231.01,87256.95,7.99E+08,237247
1.57E+12,02-11-2019 0:00,BTC/USDT,9231.7,9375,9194.98,9287.8,56602.06,5.25E+08,163182
1.57E+12,03-11-2019 0:00,BTC/USDT,9288.96,9366.69,9073,9197.88,75612.72,6.96E+08,257133
1.57E+12,04-11-2019 0:00,BTC/USDT,9197.86,9550,9126.01,9395.46,90433.36,8.42E+08,248571
