unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT,pct_chagnge
1.64696E+12,44631,BTC/USDT,39407.1,40242,38200.1,38713,467078.89,18251508271,0
1.64687E+12,44630,BTC/USDT,41939.5,42034.3,38512,39407.2,520645.19,20592964930,0.02
1.64678E+12,44629,BTC/USDT,38709.9,42647.5,38638.7,41937.5,462059.81,19171096064,0.06
1.6467E+12,44628,BTC/USDT,37963.7,39340.5,37853,38709.9,421462.37,16295438565,-0.08
1.64661E+12,44627,BTC/USDT,38401.1,39550,37134,37963.8,490254.52,18764725861,-0.02
1.64652E+12,44626,BTC/USDT,39375,39690,38056,38401.1,311705.26,12109833925,0.01
1.64644E+12,44625,BTC/USDT,39127.7,39580,38547.6,39375.1,198747.89,7774650477,0.03
1.64635E+12,44624,BTC/USDT,42449.6,42525.3,38521,39127.7,469138.37,19124060705,-0.01
1.64627E+12,44623,BTC/USDT,43885.8,44080,41831,42449.5,365565.83,15701873991,0.08
1.64618E+12,44622,BTC/USDT,44393.6,45350,43321,43885.7,407603.72,17988671381,0.03
1.64609E+12,44621,BTC/USDT,43155,44935,42765.4,44394.1,448483.65,19622069857,0.01
1.64601E+12,44620,BTC/USDT,37672.1,44341,37414.4,43155,615391.16,24659800737,-0.03
1.64592E+12,44619,BTC/USDT,39099.3,39868.6,36934.6,37672,423197.25,16317550913,-0.13
1.64583E+12,44618,BTC/USDT,39205.4,40441.1,38561.7,39099.3,251892.2,9879223598,0.04
1.64575E+12,44617,BTC/USDT,38316.2,39750,37999.2,39205.4,416316.37,16181393771,0
1.64566E+12,44616,BTC/USDT,37227.9,40376.1,34303.7,38315.1,919820.91,33179251057,-0.02
1.64557E+12,44615,BTC/USDT,38212.1,39250,36963.2,37227.8,408056.26,15594144072,-0.03
1.64549E+12,44614,BTC/USDT,36986.4,38450,36310.1,38212,465313.5,17408326521,0.03
1.6454E+12,44613,BTC/USDT,38367.9,39510,36762,36986.4,646391.82,24685541252,-0.03
1.64532E+12,44612,BTC/USDT,40052.6,40100.1,37905,38368.1,329740.44,12741245043,0.04
1.64523E+12,44611,BTC/USDT,39966.8,40438.7,39610.3,40052.6,185624.68,7424908673,0.04
1.64514E+12,44610,BTC/USDT,40491.8,40944.1,39422,39966.8,377679.78,15188089910,0
1.64506E+12,44609,BTC/USDT,43860.8,44150,40020.1,40491.7,433958.98,18306714686,0.01
1.64497E+12,44608,BTC/USDT,44529.7,44536.8,43277.8,43860.7,255790.29,11231548897,0.08
1.64488E+12,44607,BTC/USDT,42525.14,44777,42406.23,44529.6,276735.42,12150999143,0.02
1.6448E+12,44606,BTC/USDT,42041.12,42888,41526,42525.14,303990.93,12843945742,-0.05
1.64471E+12,44605,BTC/USDT,42199.88,42755.97,41850,42041.13,192068.01,8127109309,-0.01
1.64462E+12,44604,BTC/USDT,42365.99,42980,41540,42199.87,256269.33,10831014104,0
1.64454E+12,44603,BTC/USDT,43471.3,43900,41914.23,42366,414646.19,17859967570,0
1.64445E+12,44602,BTC/USDT,44358.09,45847.5,43136.96,43471.29,563922.08,25056911388,0.03
1.64436E+12,44601,BTC/USDT,44021.58,44826,43089.08,44358.08,300270.06,13182555303,0.02
1.64428E+12,44600,BTC/USDT,43829.99,45600,42641,44021.57,468015.42,20510408716,-0.01
1.64419E+12,44599,BTC/USDT,42361.34,44541.16,41609.76,43829.99,418053.77,18066735189,0
1.64411E+12,44598,BTC/USDT,41374.68,42656.8,41100,42361.35,215323.95,8973046763,-0.03
1.64402E+12,44597,BTC/USDT,41550,41922,40920,41374.69,242184.07,10047968022,-0.02
1.64393E+12,44596,BTC/USDT,37287.33,41741.76,37011,41550,520105.77,20278655698,0
